Acadvl
Acvr1
Adsl
Alad
Taf15
Cpox
Cst3
Cstb
Ddb2
Dld
Emd
Ercc3
Etfa
Fech
Fh1
Galt
Gcdh
Gpi1
Gss
Msh6
Hadha
Hmbs
Hps1
Mlh1
Npc1
Oat
Pepd
Pex12
Phkb
Plod1
Pten
Pex2
Pex5
Urod
Blmh
Ercc2
Ext2
Hsd17b4
Ifngr1
Pafah1b1
Neu1
Psen2
Sod1
Stk11
Pms1
Smpd1
Tsc2
Ifnar1
Gsr
Ahcy
Bckdha
Gart
Guk1
Nqo2
Pdhb
Polr2a
Polr2b
Rpl4
Rpl30
Rps5
Rps23
Rrm1
Plod3
Aamp
Abcf1
Acly
Adprh
Tle5
Nudt2
Birc2
Xiap
Arhgap5
Arhgdia
Atp6ap1
Bnip1
Klf9
Calu
Ccnh
Cdc27
Chuk
Tbcb
Clns1a
Cpd
Cstf1
Ctbp1
Ctnnd1
Dad1
Dars
Daxx
Dhx9
Dhx15
Dkc1
Dpagt1
Dph1
Dph2
Drg2
Ech1
Extl3
Bloc1s1
Gclc
Gtf2b
Brf1
Hnrnpl
Mrpl58
Il13ra1
Eif3e
Aars
Parp1
Ak2
Apeh
Apex1
Araf
Arcn1
Arf6
Arnt
Atf4
Atp5j
Atp5b
Atp5pb
Atp6v1c1
Atp6v1e1
Atp5o
Auh
Bcl7b
Bsg
Canx
Capns1
Cars
Cct6a
Cebpg
Cenpb
Clta
Ctnna1
Ctnnb1
Dbt
Ddb1
Dhps
Dlst
E2f4
Eef1b2
Elk4
Ercc1
Etfb
Fdps
Fkbp3
Fnta
Fntb
Kdsr
Gars
Gclm
Gns
Gtf2f1
Hars
Htt
Hivep1
Hmox2
Hspa4
Il6st
Jak1
Kpnb1
Lig4
Magoh
Max
Mgat2
Mnat1
Mpg
Mpi
Msh3
Mvd
Nubp1
Nbn
Ndufa6
Ndufb6
Ndufc1
Ndufs4
Ndufs8
Nfx1
Odc1
Ogg1
Rpl31
Pcna
Pdcd2
Pde6d
Pex13
Pfdn5
Phb
Pik3c3
Plrg1
Polg
Polr2c
Polr2e
Polr2g
Ppm1b
Ppp1r7
Ppp1r10
Ppp2r2a
Ppp4c
Prep
Map2k1
Psma1
Psma2
Psma3
Psma4
Psma5
Psma6
Psmb1
Psmb2
Psmb3
Psmb4
Psmb6
Psmb7
Psmc2
Psmc3
Psmc5
Psmd1
Psmd2
Psmd3
Psmd7
Psmd9
Psmd11
Psmd12
Psmd13
Psme3
Ptpn1
Ptpn11
Abcd3
Rap1a
Rcn2
Nf2
Upf1
Rfc1
Rnaseh1
Rnh1
Abce1
Mrpl12
Rpn1
Rpn2
Rxra
Atxn2
Sdhb
Sdhc
Smarca2
Smarcb1
Snx2
Uap1
Srp19
Srpr
Ssb
Ssr1
Ssr2
Nek4
Stx5a
Supt5
Supv3l1
Surf1
Tapbp
Tbcc
Nfe2l2
Tmbim6
Arfrp1
Sec62
Top1
Tpd52l2
Tpp2
Ercc5
Tsta3
Ttc1
Dnajc3
Tufm
Ube2d2a
Rpl36al
Sumo1
Uqcrc1
Usf2
Vbp1
Xpo1
Yy1
Zbtb14
Cnbp
Zfp523
Zbtb17
Usp7
Dek
Cul5
Nrip1
Naa10
Axin1
Slc25a11
Ulk1
Dhx16
Cul4b
Cul2
Cul1
Tpst2
Hat1
Sart1
Cops3
Agps
Cggbp1
Prpf18
Yars
Tmf1
Khsrp
Akr7a5
Stk16
Eif5a
Rfxank
Rnf113a2
Rtca
Ssna1
Eif3a
Eif3b
Eif3d
Eif3g
Eif3h
Eif3i
Eif4g3
Becn1
Mrpl40
Atp5g3
Mbtps1
Edf1
Nme2
Uri1
Eed
Ripk1
Cradd
Fadd
Cnot3
Napa
Mtmr1
Riok3
Fpgt
Pex11b
Suclg2
Sucla2
Arf1
Dpm1
Banf1
Sap30
Nap1l4
Sgpl1
Cdc16
Zpr1
Mcm3ap
Eif2b5
Eif2s2
Surf6
Mbd4
Mbd3
Mbd2
Ap3d1
Atp6v0e
Uba3
Ube2m
Spag9
Aip
Uqcrh
Wbp11
Atic
Atox1
Atp5a1
Atp6v0b
Ccng1
Ap2m1
Ap2s1
Cox8a
Echs1
Eif2s1
Fen1
Gps1
Gabarap
Ndufb7
Cpsf6
Sdha
Snrpd3
Tank
Utp14a
Fibp
Ebag9
Atp6v1f
Socs6
H2ax
Eftud2
Plaa
Med21
Med7
Med20
Pmpcb
Eef1e1
Ppa2
Abcb7
Pex19
Bad
Bag1
Bcs1l
Bnip2
Osgin2
Serbp1
Ube2r2
Copa
Abt1
Cox11
Dag1
Dffa
Rcan1
E4f1
Sde2
Erh
Acsl3
Farsa
Fdft1
Flot2
Galnt2
Golga2
Hdgf
Gpx4
Idi1
Mgst3
Ndufa3
Ndufb2
Ndufb10
Ndufc2
Ndufs3
Iws1
Pigh
Rabggtb
Sco1
Srsf7
Mcur1
Snrpd2
Stau1
Tbca
Traf6
Tsn
Xpc
Dap3
Rab7
Bag6
Cdk2ap1
Pabpn1
Gatd3a
Usp9x
Bap1
Ddx3x
Cdc23
Ash2l
Atp6v0d1
Prpf4
Prpf3
Fam50a
Rabep1
Tuba1b
Cox7a2l
Bub3
Ddx21
Etf1
Pinx1
Snrpb
Mta2
Sfswap
Ccpg1
Lsm4
Itgb1bp1
Copb2
B4galt5
Vamp3
Snap29
Txnl1
Ube4a
Ppig
Lonp1
Pex16
Snrnp40
Ddx23
Cdyl
Eif5b
Zfp207
Eif2ak3
Atg5
Cltc
Zfp869
Mpdu1
Tmem59
Polr1c
Ei24
Cir1
Atp5j2
Spag7
Sec22b
Macroh2a1
Vps26b
Clock
Babam2
Smap1
Prdx6
Sec24c
Cfap410
Capzb
Ddx1
Dhx8
Top2b
Ide
Mecp2
Ndufa5
Nelfe
Ndufa9
Ndufb8
Ndufb9
Nfkbil1
Snu13
Mphosph10
Pcyt1a
Pfn1
Zfp142
Fez2
Rbm8a
Usp14
Usp8
Akt1
Atp5c1
Eef2
Bmi1
Capn1
Ddost
Ube2d2b
Elk1
Cttn
Gtf2h1
Hagh
Hccs
Hcfc1
Ube2k
Hint1
Hspa5
Jund
Nfil3
Rala
Skil
Mlf2
Cnot9
Wdr46
Med6
Acot8
Gne
Pigk
Parp3
Hmgxb4
Ap1m1
Uba2
Sae1
Idh3a
Inpp5a
Kars
Lamp1
Lman1
Mef2a
Nit1
Rest
Sdcbp
Taf13
Tcf20
Terf2
Tfcp2
Rnf103
Farsb
Scamp2
Scamp3
Snupn
Eral1
Tssc4
Pqbp1
Tsfm
Arpc2
Nampt
Cebpz
Cnih1
Txndc9
Nme6
Topors
Psmd14
Plin3
Hnrnpr
Slc35b1
Ap3s1
Mrps31
Pop7
Zmpste24
Akap8
Pura
Stub1
Smndc1
Bcas2
Sf3a1
Maea
Marchf6
Golga3
Caprin1
Smad5
Mcm7
Mfap3
Mllt1
Mxi1
Hnrnpm
Tspan31
Tbcd
Cct3
Tsnax
Uchl3
Clpp
Alkbh1
Cdc123
Tax1bp1
H1f10
Spata2
Snapc5
Vps26c
Emc8
Tfg
Micu1
Bpnt1
Prmt5
Tab1
Hax1
Tmem50a
Nedd8
Nucb1
Pa2g4
Pcm1
Pin1
Pitpnb
Pold2
Polr2h
Polr2i
Polr2j
Ppard
Ppp5c
Psme1
Tsg101
Mogs
Smc1a
Rbm14
Emg1
Timm17b
Mcrs1
Mad2l2
Slc30a9
Znhit1
Timm44
Tada3
Ube2e3
Eif3m
Sec23a
Ptpn23
Cdk13
Lrrc41
Syncrip
Cib1
Cherp
Hyou1
Ipo7
Nop56
Atg7
Znrd2
Dctn2
Lamtor5
Tm9sf1
Arpc1a
Htatip2
Rpp38
Siva1
Mrpl28
Cct7
Cct4
Npc2
Drap1
Prpf8
Paip1
Paics
Mxd4
Stambp
Snrnp27
Psmc4
Sars
Tfe3
Glrx3
Nprl2
Mtx2
Ykt6
Pmvk
Khdrbs1
Ctcf
Fars2
Dctn6
Cct8
Api5
Nudc
Zmynd11
Zbtb6
Vamp5
Sdccag8
Clpx
Cwc25
Jtb
Fam136a
Sugt1
Tcerg1
Glo1
Cops8
Fastk
Rbm28
Man2c1
Adk
Sypl
Taldo1
Lztr1
Lmo4
Zbtb33
Zfpl1
Wdr3
Ralbp1
Prdx3
Sf3a3
Naca
Stip1
Ebna1bp2
Ckap4
Ascc3
Uqcr11
Clp1
Cops6
Metap2
Atf7
Tmed5
Lias
Ift27
Elf2
Idh3b
Sdf2
St3gal2
Zfp422
Zfp24
Zfp637
Zbtb25
Slc39a7
Maged1
Tent4a
Nudt21
Dusp14
Mier1
Rpp14
Krr1
Faf1
Pwp1
Ficd
Ndufv1
Ubl3
Ssr3
Vcp
Plpbp
Sec63
Pmf1
Pmf1
Zhx1
Man1b1
Dctn3
Chp1
Pxmp4
Snf8
Ddx19a
Pnkp
B4galt7
Cope
Ecd
Gpn1
Stxbp3
Phb2
Tusc2
Bola3
Ergic3
Mak16
Tmed4
Iars
Ptrh2
Ap2a2
Rft1
Apex2
Ppa1
Tnpo1
Ola1
Pnpo
Prpf6
Ftsj1
Rbm39
Nploc4
Ncl
Ganab
Ddx46
Dph7
Ntmt1
Paf1
Ranbp3
Ftsj3
Rer1
Bud23
Pgp
Nhp2
D2hgdh
Slc25a38
Nup107
Zmat2
Ube2i
Tsr1
Ddx54
Eif4a3
Polr3k
Rrp8
Trmt1
Scfd1
Dcakd
Tcp1
Copb1
Rmnd5a
Zfp598
Wars2
Rmnd1
Ppan
Tcf25
Fcf1
Rars2
H2bc8
Cdc40
Esf1
Cox6c2
Mus81
Icmt
Pitrm1
Slc35f5
Hnrnpa0
Trappc5
Vps52
Chmp5
Atp6v1d
Enoph1
Mcts1
Msra
Nsa2
Mdp1
Cox15
Myg1
Cog3
Snrnp200
Eprs
Ipo9
Mto1
Emc4
Nif3l1
Wdr61
Yipf1
Mrm2
Lsg1
Cnih4
Nsdhl
Atad1
Eif2a
Eif2b4
Prpf31
Pes1
Syf2
Nol10
Mars2
Exosc4
Elp2
Wdr45b
Sdad1
Pgls
Coq6
Cwc22
Surf4
Pmpca
Ovca2
Ddx47
Exosc2
Upf2
Ciao2b
Imp3
Nmd3
Tex261
Pigt
Ptrh1
Ptpa
Slc25a32
Utp25
Ppcs
Ubqln1
Pigw
Mtrex
Vps53
Memo1
Denr
Apip
Isy1
Cct5
Itpa
Dohh
Vps25
Prkrip1
Srprb
Naxd
Ltv1
Kti12
Utp11
Yju2
Dhx36
Nfu1
Prpf40a
Chmp2a
Dnm1l
Unc50
Osgep
Trappc3
Elac2
Rpf2
Prpf19
Xpnpep1
Dcaf13
Ddx27
Sbds
Gfm1
Cpsf2
Crnkl1
Acss2
Dph5
Vta1
Abcb10
Sec13
Gpn3
Metap1
Ddx56
Eif2b2
Nit2
Lars2
Vac14
Wdr36
Lsm3
Pigu
Coq5
Asnsd1
Ergic2
Rpl34-ps2
Sf3b3
Slc35c2
Ung
Ube2g2
Wdr1
Utp15
Hmces
Grwd1
Ccdc25
Usp27x
Sf3b2
Slc30a1
Sf3b1
Ddx18
Qrsl1
Abhd13
Rfc5
Pi4kb
Mrpl46
Ciao3
Dnajc21
Ssu72
Alg9
Riok2
Mrpl11
Fahd1
Zfand1
Lsm7
Nat10
Nmrk1
Hemk1
Actr5
Aarsd1
Nsun5
Mlst8
Slc25a26
Pelo
Atg3
Mrps12
Gnl2
Wdr24
Rbx1-ps
Rfc2
Ears2
Hikeshi
Dis3
Coq10b
Tsr3
Sirt6
Alg8
Scyl1
Riok1
Pno1
Noc2l
Iscu
Grpel1
Fpgs
Pus7
Eif2b3
Gpn2
Nop58
Dimt1
Srp68
Alg5
Bms1
Tyw1
Gtf2h4
Dars2
Romo1
Yars2
Gtpbp4
Elp3
Pigc
Vps16
Iars2
Eif6
Atp6v1h
Tiprl
Txnl4a
Phf5a
Cog4
Psmd6
Rbm19
Cdipt
Mri1
Naa20
Polr2f
Psen1
Mon1a
Ogfr
Cog2
Casc3
Nono
Raly
Shoc2
Tardbp
Aup1
Cbx5
Thumpd3
Tfb2m
Trmt2a
Stt3b
Itm2b
Klf3
Man2b2
Men1
Laptm4a
Nbr1
Nfyc
Map4k4
Zfp638
Oaz1
Pick1
Ptdss1
Reps1
Glg1
Adnp
Bcl2l1
Capn7
Rb1cc1
Cmas
Fkbp8
Aktip
Gabpb1
Mrps33
Gtf2i
Hp1bp3
Invs
Lamp2
Zbtb7a
Ccndbp1
Cd46
Ncoa1
Nfatc2ip
Ntan1
Cdk16
Pdcd6
Pfdn2
Pik3r1
Pld3
Mrpl23
Rxrb
Stat3
Mlx
Ubtf
Tex264
Dedd
Ube3a
Uck1
Wiz
Zfr
Hs2st1
Fto
Nubp2
Orc4
Cops4
Cops7b
Prdx5
Ecsit
Brd7
Nprl3
Ell2
Ahsa1
Gtpbp10
Fbxl3
Fbxl4
Fbxl5
Fbxl6
Fbxw2
Fbxo3
Fbxo7
Timm10b
Scap
Hbp1
Rhbdd3
Ttc33
Arfip2
Prdm4
Snapin
Timm8b
Tinf2
Zfp281
Eif2ak1
Eif3k
Drosha
Nxt1
Mkln1
Sap30bp
Mat2b
Rbm15b
Ubiad1
Rmc1
Pycr2
Gmppa
Tfpt
Snx12
Nenf
Anapc2
Zdhhc8
Nrbp1
Usp25
Stoml2
St6galnac6
Mkrn2
Grcc10
Hebp1
Cog1
Mbd1
Ubp1
Azi2
Galnt1
Fbxw5
Dhx38
Ccdc22
Dexi
Lamtor2
Mrps28
Asf1a
Chmp2b
D8Ertd738e
Acad9
Tmem14c
Commd5
Ppp1r8
Smarcal1
Tmem230
Zc3h7a
Mrpl18
Med4
Mettl5
Cript
Phpt1
Babam1
Thyn1
Lgalsl
Commd9
Itpk1
Rxylt1
Ticam1
1110004F10Rik
Mgat4b
Puf60
Smug1
Klhdc2
Patz1
Mtch2
Fam162a
Pelp1
Snd1
Stau2
Ghitm
Taf5l
Zbtb11
Aff4
Tubgcp4
Arfip1
Klhl20
Zfp330
Rabgef1
Arfgap2
Nt5c
Fam120a
Faf2
Zfp592
Mtfr1
Ube3c
Emc2
Cep57
Mlec
Tmem94
Bclaf1
Snx17
Mtss1
Sertad2
Snx19
Tatdn2
Ist1
Mrpl19
Rnf40
Efcab14
Rgp1
Plekhm1
Epm2aip1
Zc3h11a
Tox4
Zbtb39
Washc5
Supt7l
Fam20b
Zbtb5
Helz
Pdap1
Scaf8
Dlgap4
Dolk
Zfp507
Fndc3a
R3hdm2
Fastkd2
Morc2a
Zhx2
Ubox5
Zbtb1
Bahd1
Rab21
Exosc7
Tmcc1
Usp33
Wdtc1
Zhx3
Emc1
Cmtr1
Tab2
Camta2
